"Data Source","World Development Indicators",

"Last Updated Date","2020-04-09",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Bhutan","BTN","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.818000793457","26.9200000762939","27.0739994049072","27.1280002593994","27.3799991607666","27.6000003814697","27.7469997406006","27.9669990539551","28.1180000305176","27.9750003814697","27.5939998626709","27.4659996032715","27.9740009307861","27.9810009002686","28.576000213623","29.6480007171631","30.6310005187988","31.7220001220703","32.5859985351563","33.7700004577637","30.6499996185303","31.5779991149902","32.7000007629395","32.5200004577637","32.3530006408691","32.7439994812012","33.1459999084473","33.5009994506836","33.9169998168945",
"Botswana","BWA","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.8359985351563","57.9809989929199","58.265998840332","58.318000793457","58.3839988708496","58.7519989013672","58.0830001831055","56.9850006103516","57.976001739502","58.8839988708496","58.0800018310547","57.0940017700195","56.1399993896484","56.4980010986328","56.923999786377","57.0299987792969","56.7890014648438","56.7480010986328","56.7980003356934","57.1360015869141","57.5719985961914","57.9739990234375","58.3030014038086","58.8740005493164","59.4949989318848","60.0120010375977","60.4519996643066","60.8110008239746","61.1969985961914",
"Central African Republic","CAF","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.2829999923706","12.3009996414185","12.3470001220703","12.4350004196167","12.5249996185303","12.5729999542236","12.7019996643066","12.831000328064","13.0200004577637","13.1020002365112","13.28600025177","13.4770002365112","13.5109996795654","13.7449998855591","13.914999961853","14.1309995651245","14.3470001220703","14.5120000839233","14.8210000991821","15.0860004425049","15.3559999465942","15.6829996109009","15.539999961853","15.8369998931885","16.1569995880127","16.4580001831055","16.7479991912842","17.0279998779297","17.2730007171631",
"Canada","CAN","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.6309967041016","73.3669967651367","74.0080032348633","73.9820022583008","73.9179992675781","74.1370010375977","73.9359970092773","73.8919982910156","74.072998046875","74.1900024414063","74.7770004272461","74.6529998779297","74.9189987182617","74.9280014038086","75.1880035400391","75.7819976806641","76.3339996337891","76.5999984741211","77.7610015869141","78.0419998168945","77.9260025024414","77.7850036621094","77.8990020751953","78.109001159668","78.4339981079102","78.713996887207","78.9550018310547","78.9440002441406","79.072998046875",
"Central Europe and the Baltics","CEB","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.0469289560376","41.0556773782693","41.8582030285401","43.0238566810393","44.0678907711307","45.0607843294752","45.1539453149128","45.8253848959445","46.6903690627715","47.4486115593871","47.9209116415092","49.6345053636301","50.561227403766","51.4806287625715","52.0745089262244","52.851875695385","53.1068858573424","53.2845142443102","54.8473870313972","55.5763576699247","55.8423415920772","56.2536403942752","56.8366513234194","57.1102618045997","57.7904102877011","58.1391001283464","58.1149202638454","58.4584441558351","58.7418986607144",
"Switzerland","CHE","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.4729995727539","67.7419967651367","68.2229995727539","68.197998046875","67.1289978027344","69.1330032348633","70.0029983520508","70.2419967651367","70.5329971313477","70.1500015258789","71.1989974975586","72.306999206543","73.3259963989258","73.806999206543","73.6399993896484","73.5380020141602","73.4530029296875","73.5339965820313","74.6080017089844","74.0820007324219","74.2080001831055","74.8610000610352","74.681999206543","75.1340026855469","75.8109970092773","76.0490036010742","76.3769989013672","76.5080032348633","76.8450012207031",
"Channel Islands","CHI","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.8499984741211","59.1419982910156","59.3930015563965","59.6129989624023","59.9000015258789","60.2430000305176","60.548999786377","60.9490013122559","61.4029998779297","61.7620010375977","62.5579986572266","63.3199996948242","64.1360015869141","64.7620010375977","65.3450012207031","65.7320022583008","66.1520004272461","66.8840026855469","67.9400024414063","68.5559997558594","69.0839996337891","69.6330032348633","70.1559982299805","70.5899963378906","71.0719985961914","71.5970001220703","72.1190032958984","72.6740036010742","73.1719970703125",
"Chile","CHL","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.6049995422363","55.5060005187988","56.2210006713867","57.726001739502","58.2369995117188","57.9959983825684","58.2859992980957","60.0340003967285","62.1459999084473","62.1699981689453","62.476001739502","62.6399993896484","63.0040016174316","63.0400009155273","63.8899993896484","63.8639984130859","64.3059997558594","64.7440032958984","65.7360000610352","66.4369964599609","66.3639984130859","66.1880035400391","66.6480026245117","67.1110000610352","67.3379974365234","67.5090026855469","68.0070037841797","68.4550018310547","68.8450012207031",
"China","CHN","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.8999996185303","19.7999992370605","21.2000007629395","23","24.7999992370605","26","26.3999996185303","26.7000007629395","26.8999996185303","27.4950008392334","27.6940002441406","28.5939998626709","29.2999992370605","30.6000003814697","31.3999996185303","32.2000007629395","32.4000015258789","33.2000007629395","34.0999984741211","34.5999984741211","35.7000007629395","36.0999984741211","38.5","40.5999984741211","42.2350006103516","43.5","44.9099998474121","45.7089996337891","46.4360008239746",
"Cote d'Ivoire","CIV","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.7680015563965","34.8870010375977","35.0200004577637","35.1910018920898","35.4830017089844","35.8240013122559","36.1399993896484","36.5110015869141","36.8489990234375","37.1049995422363","37.4770011901855","37.7799987792969","38.1059989929199","38.5730018615723","39.0400009155273","39.484001159668","39.939998626709","40.4249992370605","40.943000793457","41.3759994506836","41.5069999694824","42.306999206543","43.0120010375977","43.701000213623","44.3639984130859","44.9860000610352","45.5940017700195","46.2210006713867","46.7830009460449",
"Cameroon","CMR","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.7730007171631","21.8400001525879","21.8600006103516","22.0130004882813","22.2099990844727","22.4519996643066","22.7409992218018","23.0520000457764","23.4130001068115","23.8239994049072","24.3150005340576","24.988000869751","25.7119998931885","26.5440006256104","27.2759990692139","28.1019992828369","29.003999710083","30.2450008392334","31.4640007019043","32.7540016174316","34.1030006408691","35.4790000915527","36.9070014953613","38.3089981079102","39.125","39.8230018615723","40.4690017700195","41.0900001525879","41.6119995117188",
"Congo, Dem. Rep.","COD","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.3959999084473","18.3409996032715","18.2819995880127","18.2600002288818","18.3190002441406","18.4440002441406","18.431999206543","18.5349998474121","18.55299949646","18.7329998016357","18.6639995574951","18.92799949646","19.2689990997314","19.5639991760254","19.9139995574951","20.2399997711182","20.5499992370605","20.8199996948242","21.0499992370605","21.3880004882813","21.7369995117188","22.1380004882813","22.5709991455078","23.0380001068115","23.4750003814697","23.7709999084473","24.0939998626709","24.5020008087158","24.8209991455078",
"Congo, Rep.","COG","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.6280002593994","31.8050003051758","31.9740009307861","32.117000579834","32.3720016479492","32.6660003662109","32.9329986572266","33.2779998779297","33.5709991455078","34.0950012207031","34.568000793457","35.0789985656738","35.5089988708496","36.0209999084473","36.6199989318848","37.181999206543","37.5639991760254","38.0709991455078","38.5800018310547","39.2410011291504","39.7849998474121","40.2949981689453","40.8079986572266","41.515998840332","42.0060005187988","42.5009994506836","42.943000793457","43.4780006408691","44.0139999389648",
"Colombia","COL","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.2639999389648","57.4360008239746","57.6500015258789","57.9329986572266","58.2089996337891","58.4000015258789","58.6809997558594","58.8699989318848","58.8629989624023","59.1650009155273","59.3779983520508","59.5900001525879","59.8470001220703","60.1559982299805","60.4469985961914","60.7999992370605","61.1240005493164","61.3370018005371","61.5550003051758","61.6199989318848","61.5289993286133","61.9280014038086","63.7630004882813","63.9860000610352","64.1689987182617","64.5800018310547","64.0500030517578","63.3009986877441","63.3950004577637",
"Comoros","COM","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.7399997711182","26.8859996795654","27.0259990692139","27.113000869751","27.2910003662109","27.4459991455078","27.6830005645752","27.9120006561279","28.1800003051758","28.5739994049072","28.9309997558594","29.298999786377","29.6599998474121","30.0249996185303","30.4090003967285","30.8129997253418","31.2719993591309","31.7299995422363","32.125","32.5779991149902","33.0460014343262","33.5110015869141","33.9700012207031","34.4160003662109","34.8330001831055","35.2789993286133","35.7379989624023","36.2150001525879","36.5940017700195",
